en,es,en_text_length,en_num_words,en_max_word_length,en_avg_word_length,en_perc_special_chars,es_text_length,es_num_words,es_max_word_length,es_avg_word_length,es_perc_special_chars
The Truth and Reconciliation Commission 53 - 59 15,Comisión de la Verdad y la Reconciliación 53 - 59 16,50.0,9.0,14.0,4.666666666666667,0.02,52.0,11.0,14.0,3.8181818181818183,0.019230769230769232
"Sanctuary, Nicky.","Santuario, Nicky.",17.0,2.0,10.0,8.0,0.11764705882352941,17.0,2.0,10.0,8.0,0.11764705882352941
Not when I hold all the cards.,No cuando yo tengo todos los naipes.,30.0,7.0,6.0,3.4285714285714284,0.03333333333333333,36.0,7.0,7.0,4.285714285714286,0.027777777777777776
He's kind of worried.,Está preocupado.,21.0,4.0,8.0,4.5,0.09523809523809523,16.0,2.0,11.0,7.5,0.0625
"- I'm ready, Bob. - Do it!","- Estoy listo, Bob.",26.0,7.0,6.0,2.857142857142857,0.23076923076923078,19.0,4.0,6.0,4.0,0.15789473684210525
I think he needs a little time by himself.,Creo que necesita un poco de tiempo por a sí mismo.,42.0,9.0,8.0,3.7777777777777777,0.023809523809523808,51.0,11.0,8.0,3.727272727272727,0.0196078431372549
"We need to surgically switch faces, so I can pretend to be you and win her heart.",Tenemos que cambiar rostros quirúrgicamente para poderme hacer pasar por ti y ganarme su corazón.,81.0,17.0,10.0,3.823529411764706,0.024691358024691357,97.0,15.0,15.0,5.533333333333333,0.010309278350515464
"In a New Zealand parliamentary debate regarding the New Zealand phosphate imports from Western Sahara on July 26th 2006, you mentioned that you were indeed aware of the UN opinion from 2002, stating that the interests of the inhabitants of non-self governing territories must be paramount in such an issue when considering the legality of such imports.","En un debate parlamentario en Nueva Zelanda en relación con las importaciones de fosfatos del Sahara Occidental el 26 de Julio de 2006, mencionó que era consciente de la opinión de Naciones Unidas desde 2002, y afirmó que los intereses de los territorios no autónomos deben ser primordiales en esta cuestión al examinar la legalidad de dichas importaciones.",352.0,57.0,13.0,5.192982456140351,0.011363636363636364,357.0,58.0,14.0,5.172413793103448,0.008403361344537815
Let's change the subject...,- Pero hablemos de otra cosa.,27.0,4.0,10.0,6.0,0.14814814814814814,29.0,6.0,8.0,4.0,0.06896551724137931
You're gonna turn down a job in a real music video. Just to be in some little play here at school?,¿Vas a rechazar un trabajo de verdad solo para estar en una pequeña obra de la escuela?,98.0,21.0,7.0,3.7142857142857144,0.030612244897959183,87.0,17.0,8.0,4.176470588235294,0.011494252873563218
But how much is that really worth?,¿Pero cuánto es realmente lo que vale?,34.0,7.0,6.0,4.0,0.029411764705882353,38.0,7.0,9.0,4.571428571428571,0.02631578947368421
- You think? - Yes.,¿Tú crees?,19.0,5.0,6.0,3.0,0.21052631578947367,10.0,2.0,6.0,4.5,0.1
Go to your room and think about all the toys you've got!,¡Vete a tú habitación y piensa en toda la cantidad de juguetes que tienes!,56.0,12.0,6.0,3.75,0.03571428571428571,74.0,14.0,10.0,4.357142857142857,0.013513513513513514
- I thought this was the bathroom.,Pensé que éste era el baño.,34.0,7.0,9.0,4.0,0.058823529411764705,27.0,6.0,5.0,3.6666666666666665,0.037037037037037035
The anatomoechocardiographic correlation was precise and allowed a better understanding of this anomaly.,La correlación anatómica-ecocardiográfica fue precisa y permitió un mejor conocimiento de esta anomalía.,104.0,13.0,24.0,7.076923076923077,0.009615384615384616,104.0,13.0,26.0,7.076923076923077,0.019230769230769232
It was why I could not allow you to drown at the bottom of Reiden Lake. Why it was necessary to allow the other Dr. Bishop to cure you instead.,Por eso no pude permitir que te ahogaras en el fondo del lago Reiden por eso era necesario permitir que el otro doctor Bishop lograra curarte.,143.0,30.0,9.0,3.8,0.02097902097902098,142.0,26.0,9.0,4.5,0.007042253521126761
"I'll get the scissors, Joe!","¡Yo tomaré las tijeras, Joe!",27.0,5.0,9.0,4.6,0.1111111111111111,28.0,5.0,8.0,4.8,0.07142857142857142
"With other children, a few months ago ?","-Con otros niños, hace varios meses. ¿Qué te pasa?",39.0,8.0,9.0,4.0,0.05128205128205128,50.0,9.0,6.0,4.666666666666667,0.08
"Unlike modern mainstream Moroccan art, which is under pressure to conform to certain standards, independent art in Darija pushes boundaries, using profanity and slang, touching on highly controversial themes, and experimenting with different styles.","De manera contraria al arte marroquí moderno mayoritario, bajo la presión de ajustarse a ciertos estándares, el arte independiente en darija rompe fronteras con blasfemias y jerga, se centra en temas muy polémicos y experimenta con estilos distintos.",249.0,34.0,13.0,6.352941176470588,0.024096385542168676,250.0,38.0,13.0,5.605263157894737,0.016
The nurse may direct you to other care. Or the nurse may help you over the phone.,Tenga a la mano su número de tarjeta de identificación de Peach State. El(la) enfermero(a) lo(a) puede dirigir a otro tipo de atención médica. O puede ayudarle por teléfono.,81.0,17.0,6.0,3.823529411764706,0.024691358024691357,173.0,29.0,14.0,5.0,0.05202312138728324
Really?,¿En serio?,7.0,1.0,7.0,7.0,0.14285714285714285,10.0,2.0,6.0,4.5,0.1
"Where was that, in Florence?","¿Dónde fué eso, en Florencia?",28.0,5.0,9.0,4.8,0.07142857142857142,29.0,5.0,10.0,5.0,0.06896551724137931
- I'll call this now.,- Ahora mismo les aviso.,21.0,5.0,4.0,3.4,0.14285714285714285,24.0,5.0,6.0,4.0,0.08333333333333333
well actually that was the conference at Copenhagen,"Bueno, de hecho fue en la conferencia de Copenhague.",51.0,8.0,10.0,5.5,0.0,52.0,9.0,11.0,4.888888888888889,0.038461538461538464
"I can still see you as a baby, sucking on your mother's tit, with fierce determination.","Todavía te puedo ver como un bebé, pegado de la teta de tu mamá, con determinación.",87.0,16.0,14.0,4.5,0.04597701149425287,83.0,16.0,14.0,4.25,0.03614457831325301
"I know I've been on your case, but the truth is, you made this all happen.","Sé que he estado sobre tu caso, pero la verdad es que has hecho que todo esto sea posible.",74.0,16.0,7.0,3.6875,0.05405405405405406,90.0,19.0,8.0,3.789473684210526,0.022222222222222223
You'll see that we belong together.,Verás que somos el uno para el otro.,35.0,6.0,9.0,5.0,0.05714285714285714,36.0,8.0,5.0,3.625,0.027777777777777776
The origins of cremation cannot be traced back in the history of Mankind. Ancient civilizations performed it respecting their own customs and beliefs.,Se pierde en las páginas del tiempo de la Humanidad el origen de la cremación. Las antiguas civilizaciones la realizaban respetando sus respectivas costumbres y creencias.,150.0,23.0,13.0,5.565217391304348,0.013333333333333334,171.0,26.0,14.0,5.615384615384615,0.011695906432748537
Mine's vodka.,Mi excusa es el vodka.,13.0,2.0,6.0,6.0,0.15384615384615385,22.0,5.0,6.0,3.6,0.045454545454545456
Tonight we're offering you one of Patrick Godureaux's favorite pieces:,Esta noche los estamos ofreciendo una de Piezas favoritas de Patrick Godureaux :,70.0,10.0,11.0,6.1,0.04285714285714286,80.0,13.0,10.0,5.230769230769231,0.0125
"In keeping with our editorial policies, we reserve the right to excise comments that we deem inappropriate, but all civil voices will be heard, all opinions respected.","Manteniendo nuestra política editorial, nos reservamos el derecho a eliminar comentarios que consideremos inapropiados, pero todas las voces civiles serán escuchadas y todas las opiniones, respetadas.",167.0,27.0,14.0,5.222222222222222,0.023952095808383235,200.0,26.0,13.0,6.730769230769231,0.02
I am still travelling and hope to reach a destination sometime!,¡Yo sigo viajando y espero llegar a un destino alguna vez!,63.0,11.0,11.0,4.818181818181818,0.015873015873015872,58.0,11.0,8.0,4.363636363636363,0.017241379310344827
RummschuetteI will have to be paid if he remains our doctor.,Hay que añadir los honorarios del Sr. Rummschüttel.,60.0,11.0,13.0,4.545454545454546,0.016666666666666666,51.0,8.0,13.0,5.5,0.0392156862745098
What did NASA image and why is this image being withheld from public view?,"Qué mostraba la imagen de NASA, y por qué esta imagen fue retenida de la mirada pública?",74.0,14.0,8.0,4.357142857142857,0.013513513513513514,88.0,17.0,8.0,4.235294117647059,0.022727272727272728
The Council is meeting in accordance with the understanding reached in the course of its prior consultations.,El Consejo de Seguridad se reúne de conformidad con el entendimiento alcanzado en sus consultas previas.,109.0,17.0,14.0,5.470588235294118,0.009174311926605505,104.0,16.0,13.0,5.5625,0.009615384615384616
This is Lennox.,Habla Lennox.,15.0,3.0,7.0,4.333333333333333,0.06666666666666667,13.0,2.0,7.0,6.0,0.07692307692307693
"Yes, you said that, ma'am.","Sí, usted ha dicho que, ma apos; am.",26.0,5.0,6.0,4.4,0.15384615384615385,36.0,8.0,5.0,3.625,0.1111111111111111
"The ladder from your country is not going up; it is going down."" - Our Lady, December 7, 1971","La escalera de vuestra nación no va hacia arriba; va hacia abajo. - Nuestra Señora, 7 de Diciembre, 1971",93.0,19.0,8.0,3.9473684210526314,0.06451612903225806,104.0,19.0,10.0,4.526315789473684,0.04807692307692308
The Board assessed the extent to which the financial statements conformed to the United Nations system accounting standards.,La Junta consideró hasta qué punto los estados financieros se ajustaban a las normas contables del sistema de las Naciones Unidas.,124.0,18.0,10.0,5.944444444444445,0.008064516129032258,130.0,21.0,11.0,5.238095238095238,0.007692307692307693
http://theeworld.blogspot.com.es/,http://theeworld.blogspot.com.es/,33.0,1.0,33.0,33.0,0.21212121212121213,33.0,1.0,33.0,33.0,0.21212121212121213
"H 12 Waste which releases toxic or very toxic gases in contact with water, air or an acid.","H 12 Residuos que emiten gases tóxicos o muy tóxicos al entrar en contacto con el aire, con el agua o con un ácido.",90.0,18.0,8.0,4.055555555555555,0.022222222222222223,115.0,24.0,8.0,3.8333333333333335,0.017391304347826087
What of a stamp of quality for foodstuffs free from genetic modification?,¿Qué me dice del sello calidad para los alimentos no manipulados genéticamente?,73.0,12.0,13.0,5.166666666666667,0.0136986301369863,79.0,12.0,14.0,5.666666666666667,0.012658227848101266
"It's a polyester and polyolefin blend, like what you'd find in the trunk of a car.","Es una mezcla de poliéster y poliolefina, como el que encuentras en el maletero de un auto.",82.0,16.0,10.0,4.1875,0.04878048780487805,91.0,17.0,12.0,4.411764705882353,0.02197802197802198
"Okay, what, what, what are you thinking?","Bien, ¿qué, qué, qué estás pensando?",40.0,7.0,9.0,4.857142857142857,0.1,36.0,6.0,9.0,5.166666666666667,0.1111111111111111
Mens wristwatch (2),Dorada (2) Correa,19.0,3.0,10.0,5.666666666666667,0.10526315789473684,17.0,3.0,6.0,5.0,0.11764705882352941
- He doesn't want to be interrupted.,Todavía está con Richard.,36.0,7.0,12.0,4.285714285714286,0.08333333333333333,25.0,4.0,8.0,5.5,0.04
Larry you can't keep on carrying a secret like that.,"Larry, ...no puedes algo así en secreto.",52.0,10.0,8.0,4.3,0.038461538461538464,40.0,7.0,8.0,4.857142857142857,0.125
Until I realized it was just a dream.,Hasta que entendí que no era más que un sueño.,37.0,8.0,8.0,3.75,0.02702702702702703,46.0,10.0,7.0,3.7,0.021739130434782608
This makes a total of 192 orphaned packages.,Esto da un total de 132 paquetes huérfanos.,44.0,8.0,9.0,4.625,0.022727272727272728,43.0,8.0,10.0,4.5,0.023255813953488372
"Each chapter of the saga revolves around one specific meteorite, of the many buried, lost or still to be discovered in the chaqueño soil.","Cada capítulo de la saga gira en torno de un meteorito específico, de los muchos desenterrados, perdidos o todavía por descubrir en el suelo chaqueño.",137.0,24.0,10.0,4.75,0.021897810218978103,150.0,25.0,14.0,5.04,0.02
Whoa! That was crazy fast.,- Eso sí que fue rápido.,26.0,5.0,5.0,4.4,0.07692307692307693,24.0,6.0,7.0,3.1666666666666665,0.08333333333333333
Have you heard the rustling of the leaves.,Ha escuchado el crujir de las hojas.,42.0,8.0,8.0,4.375,0.023809523809523808,36.0,7.0,9.0,4.285714285714286,0.027777777777777776
I only have this one shot.,solo tengo un disparo.,26.0,6.0,5.0,3.5,0.038461538461538464,22.0,4.0,8.0,4.75,0.045454545454545456
"She's, uh, she's here for a different reason. It doesn't matter.",Ella está aquí por una razón diferente.,64.0,11.0,9.0,4.909090909090909,0.109375,39.0,7.0,10.0,4.714285714285714,0.02564102564102564
Sometimes I think grad school's just a weird psychological experiment.,A veces pienso que la escuela de postgrado es un extraño experimento sicológico,70.0,10.0,13.0,6.1,0.02857142857142857,79.0,13.0,11.0,5.153846153846154,0.0
He works nearby.,Trabaja aquí al lado.,16.0,3.0,7.0,4.666666666666667,0.0625,21.0,4.0,7.0,4.5,0.047619047619047616
"Well... well,well,well,well,well.","¡Vaya! Bien. Bien, bien, bien, bien...",33.0,2.0,25.0,16.0,0.24242424242424243,38.0,6.0,7.0,5.5,0.21052631578947367
Undertakings by Participants,Compromisos de los participantes,28.0,3.0,12.0,8.666666666666666,0.0,32.0,4.0,13.0,7.25,0.0
- Won't you have something?,- ¿No te tomarás nada?,27.0,5.0,10.0,4.6,0.1111111111111111,22.0,5.0,7.0,3.6,0.09090909090909091
Let me -- No!,Permíteme... - ¡No!,13.0,4.0,3.0,2.5,0.23076923076923078,19.0,3.0,12.0,5.666666666666667,0.2631578947368421
It was just some stupid... fairy-tale rave.,Sólo fue una estúpida... fiesta de cuentos de hadas.,43.0,7.0,10.0,5.285714285714286,0.11627906976744186,52.0,9.0,11.0,4.888888888888889,0.07692307692307693
Very well. If you say so.,"Muy bien, si Ud. Io dice...",25.0,6.0,5.0,3.3333333333333335,0.08,27.0,6.0,7.0,3.6666666666666665,0.18518518518518517
Need some medical attention or something?,¿Necesitas atención médica o algo?,41.0,6.0,10.0,6.0,0.024390243902439025,34.0,5.0,10.0,6.0,0.029411764705882353
"And now he's dead, so I'm stuck with my vow.","Y ya falleció, por lo que debo seguir cumpliéndolo.",44.0,10.0,5.0,3.5,0.09090909090909091,51.0,9.0,13.0,4.777777777777778,0.0392156862745098
"According to studies, the paintings go back to the Magdalenian period, and thus they are over 13.000 years old. They were made using black ink .","Según los estudios, los dibujos pertenecen al periodo Magdaleniense y, por tanto, tienen más de 13.000 años . Están hechos con tinta negra.",144.0,26.0,11.0,4.576923076923077,0.034722222222222224,139.0,23.0,13.0,5.086956521739131,0.04316546762589928
That' s a level- eight security door.,Son puertas del nivel de seguridad 8.,37.0,7.0,8.0,4.428571428571429,0.08108108108108109,37.0,7.0,9.0,4.428571428571429,0.02702702702702703
About anything at all.,O acerca de algo en absoluto.,22.0,4.0,8.0,4.75,0.045454545454545456,29.0,6.0,9.0,4.0,0.034482758620689655
Klaus saved my life.,Klaus me salvó la vida.,20.0,4.0,5.0,4.25,0.05,23.0,5.0,5.0,3.8,0.043478260869565216
"It was the bridge constituted by the very souls –a bridge that one day should be tended between the beyond and this earth, between known and unknown.","Era el puente constituido por las mismas almas, el puente que un día tendría que estar tendido entre el más allá y esta tierra, entre lo conocido y lo desconocido.",149.0,27.0,11.0,4.555555555555555,0.013422818791946308,163.0,30.0,12.0,4.466666666666667,0.018404907975460124
"The Sonata in F for Violin and Keyboard, K. 547, was completed on July 10, 1788 by Wolfgang Amadeus Mozart.","La Sonata para violín n.º 36 en fa mayor, K. 547, fue completada el 10 de julio de 1788 por Wolfgang Amadeus Mozart.",107.0,20.0,9.0,4.4,0.04672897196261682,116.0,23.0,10.0,4.086956521739131,0.04310344827586207
"As for the objective of participating in the Middle East peace process, how can we fail to have doubts when we learn that the day before yesterday, Great Britain participated unilaterally, together with the United States of America, in an air strike - yet another - against Iraq, the very day on which the inspectors stipulated in Resolution 1441 arrived there?","En cuanto al objetivo de participación en el proceso de paz de Oriente Próximo, ¿cómo no podemos tener dudas al enterarnos de que antes de ayer Gran Bretaña participó unilateralmente, junto con los Estados Unidos, en una huelga aérea, otra, contra Iraq, el mismo día en que llegaron allí los inspectores establecidos en la Resolución 1 441 l?",361.0,61.0,13.0,4.934426229508197,0.0221606648199446,342.0,58.0,16.0,4.913793103448276,0.02046783625730994
I'm going to go to Liverpool and discover The Beatles.,Voy a ir a Liverpool y descubrir a Los Beatles.,54.0,10.0,9.0,4.5,0.037037037037037035,47.0,10.0,9.0,3.8,0.02127659574468085
♪ I'm gonna make you scream ooh!,# ¡Te haré gritar! #,32.0,7.0,6.0,3.7142857142857144,0.0625,20.0,5.0,7.0,3.2,0.15
You can only keep us from our work.,Sólo nos interrumpirá nuestro trabajo.,35.0,8.0,5.0,3.5,0.02857142857142857,38.0,5.0,12.0,6.8,0.02631578947368421
"Madam, what's wrong?","¿Qué pasa, señora?",20.0,3.0,6.0,6.0,0.15,18.0,3.0,7.0,5.333333333333333,0.1111111111111111
"Let's go, Big.","Vamos, Gordo.",14.0,3.0,5.0,4.0,0.21428571428571427,13.0,2.0,6.0,6.0,0.15384615384615385
"You know, you've... been weird ever since we got back.","Sabes, has... estado raro desde que volvimos.",54.0,10.0,9.0,4.5,0.1111111111111111,45.0,7.0,9.0,5.571428571428571,0.1111111111111111
- I'd Iike to ask you something,- Me gustaría preguntarle algo.,31.0,7.0,9.0,3.5714285714285716,0.06451612903225806,31.0,5.0,11.0,5.4,0.06451612903225806
You can have Carmen show you out.,Carmen te enseñará la salida.,33.0,7.0,6.0,3.857142857142857,0.030303030303030304,29.0,5.0,8.0,5.0,0.034482758620689655
I'll be back in a week to check on you.,Volveré en una semana a ver cómo estás.,39.0,10.0,5.0,3.0,0.05128205128205128,39.0,8.0,7.0,4.0,0.02564102564102564
It started with getting me sick.,Comenzó poniéndome enfermo.,32.0,6.0,7.0,4.5,0.03125,27.0,3.0,10.0,8.333333333333334,0.037037037037037035
The GPS data from Henry's car.,La información del GPS del coche de Henry.,30.0,6.0,7.0,4.166666666666667,0.06666666666666667,42.0,8.0,11.0,4.375,0.023809523809523808
Hello?,¿Hola?,6.0,1.0,6.0,6.0,0.16666666666666666,6.0,1.0,6.0,6.0,0.16666666666666666
"You speak first, then.",- Tú empiezas. - Vale.,22.0,4.0,6.0,4.75,0.09090909090909091,22.0,5.0,9.0,3.6,0.18181818181818182
"Composed as above,","Compuesta por los miembros antes mencionados,",18.0,3.0,8.0,5.333333333333333,0.05555555555555555,45.0,6.0,12.0,6.666666666666667,0.022222222222222223
"The states, of course, said, ""Hey!","Pero entonces los estados dijeron,",34.0,6.0,7.0,4.833333333333333,0.14705882352941177,34.0,5.0,8.0,6.0,0.029411764705882353
"This concept was adopted as the theme for the International Year of Older Persons in 1999 and subsequently became a central tenet of the Madrid International Plan of Action on Ageing 2002, adopted at the Second World Assembly on Ageing.","Este fue el tema del Año Internacional de las Personas de Edad (1999) y posteriormente se convirtió en uno de los principios fundamentales del Plan de Acción Internacional de Madrid sobre el Envejecimiento (2002), aprobado durante la Segunda Asamblea Mundial sobre el Envejecimiento.",236.0,40.0,13.0,4.925,0.00847457627118644,283.0,43.0,15.0,5.604651162790698,0.02120141342756184
There's been no follow-up phone call from the terrorists?,¿No hubo una nueva llamada de los terroristas?,57.0,9.0,11.0,5.444444444444445,0.05263157894736842,46.0,8.0,12.0,4.875,0.021739130434782608
In the Legislative Assembly the FMLN has not made a systematic effort to consolidate its advantageous position as the opposition.,En el Organo Legislativo no ha habido un esfuerzo sistemático de parte del Frente por solidificar su ventajosa posición opositora.,129.0,20.0,12.0,5.5,0.007751937984496124,130.0,20.0,11.0,5.55,0.007692307692307693
"So I hope you believe me when I tell you that if you do not cease and desist with this slandering of his good name and the good name of this hospital, I will marshal all the resources of this institution and take you to court and make sure that yu and your dreams... never defame anyone again.",así que creeme cuando te digo si no dejas y desiste de difamar su buen nombre y el buen nombre de este hospital reuniré todos los recursos de esta institución y te llevaré ante un juzgado y seguro que tu y tus sueños,293.0,58.0,11.0,4.068965517241379,0.017064846416382253,216.0,43.0,11.0,4.046511627906977,0.0
"Hey, you know what I was thinking?","Oye, ¿sabes lo que estaba pensando?",34.0,7.0,9.0,4.0,0.058823529411764705,35.0,6.0,9.0,5.0,0.05714285714285714
"Are there large quantities of smoke, black or white being omitted?","¿Hay grandes cantidades de humo, negro o blanco se omiten?",66.0,11.0,10.0,5.090909090909091,0.030303030303030304,58.0,10.0,10.0,4.9,0.034482758620689655
"(b) Requested the President of the Council and the United Nations High Commissioner for Human Rights to report to the Council at its fifth session on their efforts for the implementation of Council resolutions S-1/1 and S-3/1 and on the compliance of Israel, the occupying Power, with these two resolutions.","c) Transporte local, seguridad, comunicaciones y gastos diversos durante las misiones sobre el terreno (7.200 dólares).",307.0,50.0,14.0,5.16,0.029315960912052116,119.0,16.0,14.0,6.5,0.058823529411764705
