en,de,domain
"42 If adverse events develop during the course of treatment with Viraferon for any indication, modify the dosage or discontinue therapy temporarily until the adverse events abate.","45 Wenn bei irgendeiner Indikation im Verlauf der Behandlung mit Viraferon Nebenwirkungen auftreten, ist eine Dosismodifikation vorzunehmen oder die Behandlung vorübergehend abzusetzen, bis sich die Nebenwirkungen wieder zurückgebildet haben.",medical
Type I glass pre-filled syringe.,Fertigspritze aus Typ I Glas.,medical
"Staff Regulations of officials of the European Communities, and in particular Article 34 thereof.","Statut der Beamten der Europäischen Gemeinschaften, insbesondere Artikel 34.",medical
Head of Unit Peter JONES,Peter JONES,medical
Taking Stocrin with food may lead to an increase in the frequency of side effects.,Die Einnahme von Stocrin zu den Mahlzeiten kann zu einem Anstieg der Häufigkeit von Nebenwirkungen führen.,medical
Summary of the EMEA work programme 2006 EMEA/ 62913/ 2006 Annexes 1.,Überblick über das EMEA-Arbeitsprogramm 2006 EMEA/145874/2006 Anhänge 1.,medical
4 (4) Common:,4 (4) Häufig:,medical
See your doctor immediately as very occasionally this may become serious.,"Sie müssen sofort zu Ihrem Arzt gehen, da dies in sehr",medical
"3 for treatment days 13, 15 and 17 Use blue triple pack No.","3 für die Behandlungstage 13, 15 und 17 verwenden.",medical
0.1mg 29.8% 2.2% 0.2% 0.0%,"29,8% 2,2% 0,2% 0,0%",medical
"Prior treatments included corticosteroids (98% of all patients), immunoglobulins (97%), rituximab (71%), danazol (37%), cytotoxic therapies (68%), and azathioprine (24%).","Diese vorangegangenen Behandlungen schlossen Kortikosteroide (98% aller Patienten), Immunglobuline (97%), Rituximab (71%), Danazol (37%), zytotoxische Therapien (68%) und Azathioprin (24%) ein.",medical
• 20.11.2002 • 18.12.2002,20.11.2002 18.12.2002,medical
"The efficacy and safety of Paxene (175 mg/ m² over 3 hours repeated at 3-week intervals) in advanced metastatic ovarian cancer were investigated in 120 women in a multicentre, open-label extended Phase II trial.","Die Wirksamkeit und die Unbedenklichkeit von Paxene (175 mg/m2 über 3 Stunden in dreiwöchigen Abständen wiederholt) bei Ovarialkarzinom im fortgeschrittenen Stadium wurden bei 120 Frauen in einer multizentrischen, unverblindeten erweiterten Phase-II-Studie untersucht.",medical
The Agency’ s involvement in this cycle will continue in 2006.,Die EMEA wird sich auch 2006 an diesem regelmäßigen Zyklus beteiligen.,medical
"The frequency is defined as follows: very common: ≥ 1/ 10, common: ≥ 1/ 100 and < 1/ 10, uncommon: ≥ 1/ 1,000 and < 1/ 100, rare: ≥ 1/ 10,000 and < 1/ 1,000, very rare: ≤ 1/ 10,000.","Die Häufigkeiten sind wie folgt definiert: sehr häufig: ≥ 1/10, häufig: ≥ 1/100 und < 1/10, gelegentlich: ≥ 1/1.000 und < 1/100, selten: ≥ 1/10.000 und < 1/1.000, sehr selten: < 1/10.000.",medical
The European Commission granted a marketing authorisation valid throughout the EU for Biograstim to CT Arzneimittel GmbH on 15 September 2008.,September 2008 erteilte die Europäische Kommission dem Unternehmen CT Arzneimittel GmbH eine Genehmigung für das Inverkehrbringen von Biograstim in der gesamten Europäischen Union.,medical
"As animal reproduction studies are not always predictive of human response, Herceptin should be avoided during pregnancy unless the potential benefit for the mother outweighs the potential risk to the foetus.","Da Reproduktionsstudien am Tier nicht immer aussagekräftig für die Reaktion beim Menschen sind, sollte die Gabe von Herceptin während der Schwangerschaft vermieden werden, es sei denn, der potentielle Nutzen für die Mutter überwiegt das potentielle Risiko für den Föten.",medical
"The active substance in Hycamtin, topotecan, is an anticancer medicine that belongs to the group ‘ topoisomerase inhibitors’.","Topotecan, der Wirkstoff in Hycamtin, ist ein Arzneimittel gegen Krebs und gehört zur Gruppe der Topoisomerase-Hemmer.",medical
Suicide/ suicidal thoughts or clinical worsening,Suizid/Suizidgedanken oder klinische Verschlechterung,medical
There is no experience regarding the administration of Karvea in patients with a recent kidney transplantation.,Es liegen keine Erfahrungen zur Verabreichung von Karvea bei Patienten kurz nach Nierentransplantation vor.,medical
The responsibility for co-ordinating translation services was transferred from conference services to this sector.,Die Zuständigkeit für die Koordinierung der Übersetzungsdienstleistungen wurde vom Konferenzdienst auf diesen Bereich übertragen.,medical
"In another study, grapefruit juice had no effect on the disposition of desloratadine.",In einer anderen Studie hatte Grapefruit-Saft keine Auswirkung auf die Verfügbarkeit von Desloratadin.,medical
This may help to protect against the disease caused by the virus.,"Das Virus wurde zuerst inaktiviert (abgetötet), damit es keine Erkrankungen verursachen kann.",medical
The Marketing Authorisation Holder commits to performing the pharmacovigilance activities detailed in the Pharmacovigilance Plan.,"Der Inhaber der Zulassung verpflichtet sich, die im Pharmakovigilanzplan vorgesehenen Aktivitäten zur Pharmakovigilanz durchzuführen.",medical
"The capsules should always be taken by mouth, and swallowed whole and not chewed.","Die Kapseln werden in den Mund genommen und im Ganzen geschluckt, ohne sie zu kauen.",medical
The dose of Levemir should be titrated based on individual patients’ needs.,Die Dosierung von Levemir muss entsprechend dem Bedarf des Patienten individuell angepasst werden.,medical
0.78 (0.70-0.86) 0.80 (0.70-0.90) 0.74 (0.64-0.87) 0.68 (0.56-0.84),"12,3 0,80 (0,70-0,90) 8,1 0,74 (0,64-0,87) 4,9 0,68 (0,56-0,84)",medical
"1A2, 2A6, 2B6, 2C8, 2C9, 2C19, 2D6, 2E1, and 3A4/ 5.","1A2, 2A6, 2B6, 2C8, 2C9, 2C19, 2D6, 2E1 und 3A4/5.",medical
"TEVA Pharmaceutical Works Private Limited Company H-2100 Gödöll ő, Táncsics Mihály út 82 Hungary","TEVA Pharmaceutical Works Private Limited Company H-2100 Gödöllő, Táncsics Mihály út 82 Ungarn",medical
HDPE bottles with a child-resistant polypropylene closure.,HDPE-Flaschen mit kindergesicherter Verschlusskappe aus Kunststoff.,medical
Histological response2,Histologisches Ansprechen2,medical
Lamivudine has no effect on the pharmacokinetics of trimethoprim or sulfamethoxazole.,Lamivudin hat keinen Einfluss auf die Pharmakokinetik von Trimethoprim und Sulfamethoxazol.,medical
"Portugal Smith Kline & French Portuguesa, Produtos Farmacêuticos, Lda.","Portugal Smith Kline & French Portuguesa, Produtos Farmacêuticos, Lda.",medical
"In the 12 week study involving peritoneal dialysis patients however, similar iPTH reductions were seen compared with patients receiving calcium acetate.","In der 12-Wochen- Studie mit Peritonealdialysepatienten wurden im Vergleich zu Patienten, die Calciumacetat erhielten, allerdings vergleichbare Senkungen des iPTH-Spiegels im Serum beobachtet.",medical
"− The CHMP considered the referral made under article 31of Directive 2001/ 83/ EC, as amended, for medicinal products containing piroxicam.","− Der CHMP befasste sich mit dem Verfahren gemäß Artikel 31 der Richtlinie 2001/83/EG in der geänderten Fassung für Arzneimittel, die Piroxicam enthalten.",medical
Dose has been selected and the injection button has been pulled out and pressed in again without a needle attached.,"Eine Dosis wurde eingestellt, der Injektionsknopf wurde herausgezogen und wieder eingedrückt – versehentlich, ohne dass eine Nadel befestigt war.",medical
Patients who are diagnosed with a hypersensitivity reaction whilst on therapy MUST discontinue Ziagen immediately.,"Patienten, bei denen während der Therapie eine Überempfindlichkeit diagnostiziert wird, MÜSSEN Ziagen sofort absetzen.",medical
The following side effects have been experienced by some patients taking Actos 45mg tablets:,Folgende Nebenwirkungen sind bei einigen Patienten unter Behandlung mit Actos 45 mg Tabletten aufgetreten:,medical
"As the active substances of Trizivir may inhibit DNA replication any use, especially during the first trimester, presents a potential risk to the foetus.","Da die arzneilich wirksamen Bestandteile von Trizivir möglicherweise die DNA-Replikation hemmen, stellt jede Anwendung, besonders während der ersten 3 Schwangerschaftsmonate, ein mögliches Risiko für den Fetus dar.",medical
b).... c) Part A,b).... c) P art A,medical
"Upon storage, a fine white deposit with a clear colourless supernatant can be observed.",Bei Lagerung ist in der Suspension eine weiße Ablagerung und ein klarer Überstand zu beobachten.,medical
How is Ranexa used?,Wie wird Ranexa angewendet?,medical
"Darunavir and ritonavir inhibit CYP3A4 and as a result can be expected to increase the plasma concentrations of calcium channel antagonists, which are CYP3A4 substrates.","Darunavir und Ritonavir hemmen CYP3A4; daher ist mit einem Anstieg der Plasmakonzentrationen von Calciumantagonisten zu rechnen, welche CYP3A4-Substrate sind.",medical
Skin and subcutaneous tissue,"Erkrankungen der Atemwege, des Brustraums",medical
6 Adults.,Erwachsene.,medical
Page 19,Seite 20,medical
The dose depends on the body surface area in dogs (caluclated using body weight) and body weight in cats.,"Die Dosierung bei Hunden richtet sich nach der Größe der Körperoberfläche (die mittels des Körpergewichts bestimmt wird), bei Katzen nach dem Körpergewicht.",medical
During Betaferon treatment you are likely to experience injection site reactions.,Während der Behandlung mit Betaferon sind Reaktionen an der Injektionsstelle wahrscheinlich.,medical
Chemical and physical in-use stability has been demonstrated for 24 hours at 2°C to 8°C.,Bei 2 bis 8 oC ist die rekonstituierte Lösung über 24 Stunden chemisch und physikalisch stabil.,medical
a) 9.1.1997 b) 6.5.1998 c) 180 days d) 508 days,09.01.97 06.05.98 180 T age 508 Tage,medical
You will find detailed information about the ingredient sorbitol (a sugar) in section 2. under the heading “ Important information about some of the ingredients of Tevagrastim”.,Detaillierte Informationen zum Bestandteil Sorbitol (einem Zucker) erhalten Sie in Abschnitt 2. unter der Überschrift „ Wichtige Informationen über bestimmte sonstige Bestandteile von Tevagrastim”.,medical
One-year data from two combined observational studies indicate a recurrence rate of 27% (35/128 patients) in those patients who became clinically clear after one or two courses of treatment.,Die Einjahresdaten aus zwei kombinierten Beobachtungsstudien zeigen für Patienten mit klinischer Abheilung nach einem oder zwei Behandlungszeiträumen eine Rezidivrate von 27% (35/128 Patienten).,medical
CARDBOARD BOX FOR SYRINGE,UMKARTON FÜR SPRITZE,medical
5 vials (17 ml),5 Durchstechflaschen (17 ml),medical
Such reactions have been fully reversible following dose reduction or discontinuation of vigabatrin (see Section 4.4 Special warnings and special precautions for use).,Diese Reaktionen waren nach Reduzierung der Dosis oder Absetzen von Vigabatrin vollständig reversibel (siehe Abschnitt 4.4 Warnhinweise und Vorsichtsmaßnahmen für die Anwendung).,medical
ingredients in section 6.,von Levitra sind (siehe die sonstigen Bestandteile in Abschnitt 6).,medical
Trudexa 40 mg solution for injection in pre-filled syringe with needleguard is supplied as a sterile,"Trudexa 40 mg Injektionslösung in Fertigspritze mit Stichschutz-System wird als sterile Lösung von 40 mg Adalimumab in 0,8 ml Lösung geliefert.",medical
"The registry will help to define the use of ziconotide in the clinical setting e. g. optimal dosing regimen, the possible development of tolerance.","Das Register soll helfen, die klinische Anwendung von Ziconotid zu definieren, z.B. das optimale Dosierungsschema und eine mögliche Toleranzentwicklung.",medical
"If any of the above applies to you, do not take Rasilez HCT and talk to your doctor.",Informieren Sie bitte Ihren Arzt.,medical
"(44-20) 74 18 84 00 Fax (44-20) 74 18 84 16 E-mail: mail@emea. europa. eu http: / /www. emea. europa. eu ©EMEA 2007 Reproduction and/ or distribution of this document is authorised for non commercial purposes only provided the EMEA is acknowledged problems) and the rate of deep vein thrombosis (the formation of a blood clot in one of the deep veins of the body, usually in the leg).","Die Wirksamkeit von Revasc als Gerinnungshemmer wurde in vier Studien mit insgesamt 1 621 Patienten getestet, die Revasc erhielten.",medical
"at least 10 days, it",mindestens,medical
CellCept is contraindicated in women who are breastfeeding (see section 4.6).,CellCept ist bei stillenden Frauen kontraindiziert (siehe Abschnitt 4.6).,medical
AMENDMENTS,10/18,medical
au not try to induce vomiting.,"Versuchen Sie nicht, Erbrechen auszulösen. el",medical
Gastrointestinal Symptoms:,Gastrointestinale Symptome:,medical
"Patients with rare hereditary problems of fructose intolerance, glucose malabsorption or sucrose- isomaltase insufficiency should not take this medicine","Bei Patienten mit Fructoseintoleranz, Glucose-Malabsorption und Sucrose-Isomaltase-Mangel darf dieses Medikament nicht angewendet werden..",medical
This appropriation is intended to cover the Agency's contribution towards insurance against accidents and occupational diseases and the supplementary expenditure arising from the application of the statutory provisions in this area.,"Veranschlagt sind Mittel zur Deckung des Arbeitgeberbeitrags zur Unfallversicherung und Versicherung gegen Berufskrankheiten sowie der zusätzlichen Ausgaben, die sich aus der Anwendung der einschlägigen Statutsbestimmungen ergeben.",medical
170 1.,197 1.,medical
Pre-filled pens in use (or carried as a spare) may be stored for a maximum of 4 weeks not above 25°C away from direct heat or direct light.,"150 Verwendete Pens In Verwendung befindliche (oder als Vorrat mitgeführte) Fertigpens können maximal 4 Wochen lang bei einer Temperatur von nicht über 25 °C, vor direkter Hitzeeinwirkung und direktem Licht geschützt, aufbewahrt werden.",medical
"When your condition has been brought under control, you will receive regular doses of Epoetin alfa HEXAL.","Sobald Sie gut eingestellt sind, werden Sie regelmäßige Dosen von Epoetin alfa HEXAL erhalten.",medical
MicardisPlus should not be used in patients with severe renal impairment (creatinine clearance < 30 ml/ min) (see section 4.3).,MicardisPlus sollte nicht bei Patienten mit schwerer Nierenfunktionsstörung (Kreatinin-Clearance < 30 ml/min) (siehe Abschnitt 4.3) angewandt werden.,medical
"Parque Tecnologico de Madrid, Calle Severo Ochoa 2, 28760, Tres Cantos, Madrid","Die Umstellung des Patienten auf die Behandlung mit < Phantasiebezeichnung > sollte mit Vorsicht durchgeführt werden, insbesondere, wenn anzunehmen ist, dass die Nebennierenfunktion durch eine frühere systemische Kortikoidbehandlung beeinträchtigt ist.",medical
Desirudin is a recombinant DNA product derived from yeast cells.,"Desirudin ist ein rekombinantes DNS-Produkt, das aus Hefezellen hergestellt wird.",medical
"If you do not prime before each injection, you may get too much or too little insulin.","Wird nicht vor jeder Injektion entlüftet, kann es passieren, dass zu viel oder zu wenig Insulin gespritzt wird.",medical
Cerezyme,Cerezyme,medical
Video-conferencing,Videokonferenzen,medical
"In Study 1899, a significant decrease in all cause mortality in favour of posaconazole was observed [POS 49/ 304 (16%) vs.",In der Studie 1899 wurde ein signifikanter Abfall der Sterblichkeit jeglicher Ursache zugunsten von Posaconazol beobachtet [POS 49/304 (16%) vs.,medical
"In healthy volunteers, a marked dose-related decrease in plasma uric acid levels was observed across the dose range 0.05 mg/ kg to 0.20 mg/ kg of Fasturtec.","Bei gesunden Probanden wurde im Dosisbereich von 0,05 mg/kg bis 0,20 mg/kg Fasturtec eine deutliche dosisabhängige Abnahme der Harnsäureplasmaspiegel beobachtet.",medical
Tryptose and NZ-Amines:,Tryptose und NZ-Amine:,medical
or • plan to get pregnant.,• eine Schwangerschaft planen. ch,medical
These results were convincing when compared to the 20% placebo treated animals that became continent in study ACE129801.,"Im Vergleich zu den 20% mit einem Placebo behandelten Tieren, die in Studie ACE129801 kontinent wurden, wirken diese Zahlen sehr überzeugend.",medical
"If you become pregnant while on losartan, tell your doctor immediately.","Wenn Sie während der Behandlung mit < Cozaar > schwanger werden, teilen Sie dies unmittelbar Ihrem Arzt mit.",medical
"Information on the number of marketing authorisations and variation applications received, and opinions granted in 1997 are shown in Annex 7, together with a full list of Community authorisation Decisions, as approved by the Commission in 1997.","Dieser Anhang enthält auch eine vollständige Liste der Entscheidungen über gemeinschaftliche Genehmigungsverfahren für das Inverkehrbringen, die von der Kommission 1997 verabschiedet wurden.",medical
"Because mycophenolate mofetil has demonstrated teratogenic effects in rats and rabbit, Mycophenolate mofetil Teva capsules should not be opened or crushed.","Da Mycophenolatmofetil bei Ratten und Kaninchen eine teratogene Wirkung hatte, sollten die Mycophenolatmofetil Teva Kapseln nicht geöffnet oder zerdrückt werden.",medical
"If it persists, treatment with DepoCyte should be discontinued.",Bei Fortbestehen der Symptome sollte die Behandlung mit DepoCyte abgebrochen werden.,medical
ZYPREXA 15 mg,ZYPREXA 15 mg,medical
N=157,n=157,medical
Metabolites are excreted in urine and via biliary excretion in faeces.,Metaboliten werden mit dem Urin oder biliär über die Fäzes ausgeschieden.,medical
r ge Skin and subcutaneous tissue disorders,11 Erkrankungen der Haut und des Unterhautzellgewebes,medical
"For the following cycle, your doctor will prescribe a dosage lower than that of the previous cycle.",Im nächsten Behandlungszyklus wird Ihnen Ihr Arzt eine niedrigere Dosierung verschreiben.,medical
What is Suvaxyn Aujeszky 783 + O/ W?,Was ist Suvaxyn Aujeszky 783 + O/W?,medical
"Undiagnosed genital bleeding Untreated endometrial hyperplasia Previous idiopathic or current venous thromboembolism (deep venous thrombosis, pulmonary embolism)","nicht abgeklärte Blutung im Genitalbereich unbehandelte Endometriumhyperplasie frühere idiopathische oder bestehende venöse thromboembolische Erkrankungen (tiefe Venenthrombose, Lungenembolie)",medical
Kinzalmono should not be used in people who may be hypersensitive (allergic) to telmisartan or any of the other ingredients.,"Kinzalmono darf nicht bei Patienten angewendet werden, die möglicherweise überempfindlich (allergisch) gegen Telmisartan oder einen der sonstigen Bestandteile sind.",medical
HOW TO USE INSULIN HUMAN WINTHROP BASAL,WIE IST INSULIN HUMAN WINTHROP BASAL ANZUWENDEN?,medical
hydrocortisone acetate ointment.,se Behandlungsperiode.,medical
Do not store above 25°C.,136 Nicht über 25ºC lagern.,medical
Pharma-Cos House Triq C.,Pharma-Cos House Triq C.,medical
"Clear, colourless solution, free of particulate matter.","Klare, farblose Lösung, frei von Partikeln.",medical
The company that makes Galvus has agreed that its scientific data can be used for Jalra.,"Die Herstellerfirma von Galvus hat ihre Zustimmung dazu gegeben, dass die wissenschaftlichen Daten zu Galvus auch für Jalra herangezogen werden können.",medical
"If your side effects become too uncomfortable, ask your doctor for advice as soon as possible.","Wenn Ihnen die Nebenwirkungen zu unangenehm werden, fragen Sie bitte Ihren Arzt so rasch wie möglich um Rat.",medical
"Your doctor, pharmacist or nurse knows how to store Aclasta properly.","Ihr Arzt, Apotheker oder das Pflegepersonal wissen, wie Aclasta ordnungsgemäß aufbewahrt werden muss.",medical
"Effects in non-clinical studies were observed only at exposures considered sufficiently in excess of the maximum human exposure, indicating little relevance to clinical use.",Die Relevanz für die klinische Anwendung wird als gering bewertet.,medical
Paroxetin STADA 20 mg Filmtabletten,Paroxetin STADA 20 mg Filmtabletten,medical
4/ 28,4/30,medical
"At exposures lower than those obtained at therapeutic doses in humans, posaconazole caused skeletal variations and malformations, dystocia, increased length of gestation, reduced mean litter size and postnatal viability.","Bei einer Exposition, die geringer war als die unter therapeutischen Dosen beim Menschen erzielte Exposition, führte die Behandlung mit Posaconazol zu Veränderungen am Skelettsystem und skelettalen Missbildungen, Dystokie, Verlängerung der Gestationszeit, einer verminderten mittleren Größe der Nachkommen und reduzierter postnataler Lebensfähigkeit.",medical
"Doses are adjusted according to the response, and treatment may continue for up to 5 weeks.","Die Dosen werden gemäß dem Ansprechen angepasst, und die Behandlung kann bis zu 5 Wochen dauern.",medical
"After control of the disease the vaccine should be administered. • if your child has a bleeding problem or bruises easily • if your child has a tendency to seizures/fits due to a fever, or if there is a history in the family of this As with all vaccines, Infanrix hexa may not completely protect all people who are vaccinated.","Wie bei allen Impfstoffen kann es sein, dass Infanrix hexa möglicherweise nicht jeden Geimpften vollständig schützt.",medical
"Like all medicines, CELVAPAN can cause side effects, although not everybody gets them.","Wie alle Arzneimittel kann CELVAPAN Nebenwirkungen haben, die aber nicht bei jedem auftreten müssen.",medical
Aripiprazole and other antipsychotic drugs should be used cautiously in patients at risk for aspiration pneumonia.,"Aripiprazol und andere antipsychotischen Arzneimittel sollten mit Vorsicht bei Patienten mit einem Risiko für Aspirationspneumonie angewendet werden,",medical
"Bedfont Cross, Stanwell Road Feltham, Middlesex TW 14 8NX United Kingdom Tel: +44-208-818-7200","Bedfont Cross, Stanwell Road Feltham, Middlesex TW 14 8NX United Kingdom Tel: +44-208-818-7200",medical
"If symptoms resolve and CK levels return to normal, then reintroduction of statin therapy may be considered at the lowest dose and with close monitoring.","Wenn die Symptome nachlassen und die CK-Spiegel zum Normalwert zurückkehren, kann die Wiederauf- nahme der Statin-Therapie mit der niedrigsten Dosierung und unter engmaschiger Überwachung in Betracht gezogen werden.",medical
