en,es
"In a New Zealand parliamentary debate regarding the New Zealand phosphate imports from Western Sahara on July 26th 2006, you mentioned that you were indeed aware of the UN opinion from 2002, stating that the interests of the inhabitants of non-self governing territories must be paramount in such an issue when considering the legality of such imports.","En un debate parlamentario en Nueva Zelanda en relación con las importaciones de fosfatos del Sahara Occidental el 26 de Julio de 2006, mencionó que era consciente de la opinión de Naciones Unidas desde 2002, y afirmó que los intereses de los territorios no autónomos deben ser primordiales en esta cuestión al examinar la legalidad de dichas importaciones."
Let's change the subject...,- Pero hablemos de otra cosa.
You're gonna turn down a job in a real music video. Just to be in some little play here at school?,¿Vas a rechazar un trabajo de verdad solo para estar en una pequeña obra de la escuela?
But how much is that really worth?,¿Pero cuánto es realmente lo que vale?
- You think? - Yes.,¿Tú crees?
Go to your room and think about all the toys you've got!,¡Vete a tú habitación y piensa en toda la cantidad de juguetes que tienes!
- I thought this was the bathroom.,Pensé que éste era el baño.
The anatomoechocardiographic correlation was precise and allowed a better understanding of this anomaly.,La correlación anatómica-ecocardiográfica fue precisa y permitió un mejor conocimiento de esta anomalía.
It was why I could not allow you to drown at the bottom of Reiden Lake. Why it was necessary to allow the other Dr. Bishop to cure you instead.,Por eso no pude permitir que te ahogaras en el fondo del lago Reiden por eso era necesario permitir que el otro doctor Bishop lograra curarte.
"I'll get the scissors, Joe!","¡Yo tomaré las tijeras, Joe!"
"With other children, a few months ago ?","-Con otros niños, hace varios meses. ¿Qué te pasa?"
"Unlike modern mainstream Moroccan art, which is under pressure to conform to certain standards, independent art in Darija pushes boundaries, using profanity and slang, touching on highly controversial themes, and experimenting with different styles.","De manera contraria al arte marroquí moderno mayoritario, bajo la presión de ajustarse a ciertos estándares, el arte independiente en darija rompe fronteras con blasfemias y jerga, se centra en temas muy polémicos y experimenta con estilos distintos."
The nurse may direct you to other care. Or the nurse may help you over the phone.,Tenga a la mano su número de tarjeta de identificación de Peach State. El(la) enfermero(a) lo(a) puede dirigir a otro tipo de atención médica. O puede ayudarle por teléfono.
Really?,¿En serio?
"Where was that, in Florence?","¿Dónde fué eso, en Florencia?"
- I'll call this now.,- Ahora mismo les aviso.
well actually that was the conference at Copenhagen,"Bueno, de hecho fue en la conferencia de Copenhague."
"I can still see you as a baby, sucking on your mother's tit, with fierce determination.","Todavía te puedo ver como un bebé, pegado de la teta de tu mamá, con determinación."
"I know I've been on your case, but the truth is, you made this all happen.","Sé que he estado sobre tu caso, pero la verdad es que has hecho que todo esto sea posible."
You'll see that we belong together.,Verás que somos el uno para el otro.
The origins of cremation cannot be traced back in the history of Mankind. Ancient civilizations performed it respecting their own customs and beliefs.,Se pierde en las páginas del tiempo de la Humanidad el origen de la cremación. Las antiguas civilizaciones la realizaban respetando sus respectivas costumbres y creencias.
Mine's vodka.,Mi excusa es el vodka.
Tonight we're offering you one of Patrick Godureaux's favorite pieces:,Esta noche los estamos ofreciendo una de Piezas favoritas de Patrick Godureaux :
"In keeping with our editorial policies, we reserve the right to excise comments that we deem inappropriate, but all civil voices will be heard, all opinions respected.","Manteniendo nuestra política editorial, nos reservamos el derecho a eliminar comentarios que consideremos inapropiados, pero todas las voces civiles serán escuchadas y todas las opiniones, respetadas."
I am still travelling and hope to reach a destination sometime!,¡Yo sigo viajando y espero llegar a un destino alguna vez!
RummschuetteI will have to be paid if he remains our doctor.,Hay que añadir los honorarios del Sr. Rummschüttel.
What did NASA image and why is this image being withheld from public view?,"Qué mostraba la imagen de NASA, y por qué esta imagen fue retenida de la mirada pública?"
The Council is meeting in accordance with the understanding reached in the course of its prior consultations.,El Consejo de Seguridad se reúne de conformidad con el entendimiento alcanzado en sus consultas previas.
This is Lennox.,Habla Lennox.
"Yes, you said that, ma'am.","Sí, usted ha dicho que, ma apos; am."
"The ladder from your country is not going up; it is going down."" - Our Lady, December 7, 1971","La escalera de vuestra nación no va hacia arriba; va hacia abajo. - Nuestra Señora, 7 de Diciembre, 1971"
The Board assessed the extent to which the financial statements conformed to the United Nations system accounting standards.,La Junta consideró hasta qué punto los estados financieros se ajustaban a las normas contables del sistema de las Naciones Unidas.
http://theeworld.blogspot.com.es/,http://theeworld.blogspot.com.es/
"H 12 Waste which releases toxic or very toxic gases in contact with water, air or an acid.","H 12 Residuos que emiten gases tóxicos o muy tóxicos al entrar en contacto con el aire, con el agua o con un ácido."
What of a stamp of quality for foodstuffs free from genetic modification?,¿Qué me dice del sello calidad para los alimentos no manipulados genéticamente?
"It's a polyester and polyolefin blend, like what you'd find in the trunk of a car.","Es una mezcla de poliéster y poliolefina, como el que encuentras en el maletero de un auto."
"Okay, what, what, what are you thinking?","Bien, ¿qué, qué, qué estás pensando?"
Mens wristwatch (2),Dorada (2) Correa
- He doesn't want to be interrupted.,Todavía está con Richard.
Larry you can't keep on carrying a secret like that.,"Larry, ...no puedes algo así en secreto."
Until I realized it was just a dream.,Hasta que entendí que no era más que un sueño.
This makes a total of 192 orphaned packages.,Esto da un total de 132 paquetes huérfanos.
"Each chapter of the saga revolves around one specific meteorite, of the many buried, lost or still to be discovered in the chaqueño soil.","Cada capítulo de la saga gira en torno de un meteorito específico, de los muchos desenterrados, perdidos o todavía por descubrir en el suelo chaqueño."
Whoa! That was crazy fast.,- Eso sí que fue rápido.
Have you heard the rustling of the leaves.,Ha escuchado el crujir de las hojas.
I only have this one shot.,solo tengo un disparo.
"She's, uh, she's here for a different reason. It doesn't matter.",Ella está aquí por una razón diferente.
Sometimes I think grad school's just a weird psychological experiment.,A veces pienso que la escuela de postgrado es un extraño experimento sicológico
He works nearby.,Trabaja aquí al lado.
"Well... well,well,well,well,well.","¡Vaya! Bien. Bien, bien, bien, bien..."
Undertakings by Participants,Compromisos de los participantes
- Won't you have something?,- ¿No te tomarás nada?
Let me -- No!,Permíteme... - ¡No!
It was just some stupid... fairy-tale rave.,Sólo fue una estúpida... fiesta de cuentos de hadas.
Very well. If you say so.,"Muy bien, si Ud. Io dice..."
Need some medical attention or something?,¿Necesitas atención médica o algo?
"And now he's dead, so I'm stuck with my vow.","Y ya falleció, por lo que debo seguir cumpliéndolo."
"According to studies, the paintings go back to the Magdalenian period, and thus they are over 13.000 years old. They were made using black ink .","Según los estudios, los dibujos pertenecen al periodo Magdaleniense y, por tanto, tienen más de 13.000 años . Están hechos con tinta negra."
That' s a level- eight security door.,Son puertas del nivel de seguridad 8.
About anything at all.,O acerca de algo en absoluto.
Klaus saved my life.,Klaus me salvó la vida.
"It was the bridge constituted by the very souls –a bridge that one day should be tended between the beyond and this earth, between known and unknown.","Era el puente constituido por las mismas almas, el puente que un día tendría que estar tendido entre el más allá y esta tierra, entre lo conocido y lo desconocido."
"The Sonata in F for Violin and Keyboard, K. 547, was completed on July 10, 1788 by Wolfgang Amadeus Mozart.","La Sonata para violín n.º 36 en fa mayor, K. 547, fue completada el 10 de julio de 1788 por Wolfgang Amadeus Mozart."
"As for the objective of participating in the Middle East peace process, how can we fail to have doubts when we learn that the day before yesterday, Great Britain participated unilaterally, together with the United States of America, in an air strike - yet another - against Iraq, the very day on which the inspectors stipulated in Resolution 1441 arrived there?","En cuanto al objetivo de participación en el proceso de paz de Oriente Próximo, ¿cómo no podemos tener dudas al enterarnos de que antes de ayer Gran Bretaña participó unilateralmente, junto con los Estados Unidos, en una huelga aérea, otra, contra Iraq, el mismo día en que llegaron allí los inspectores establecidos en la Resolución 1 441 l?"
I'm going to go to Liverpool and discover The Beatles.,Voy a ir a Liverpool y descubrir a Los Beatles.
♪ I'm gonna make you scream ooh!,# ¡Te haré gritar! #
You can only keep us from our work.,Sólo nos interrumpirá nuestro trabajo.
"Madam, what's wrong?","¿Qué pasa, señora?"
"Let's go, Big.","Vamos, Gordo."
"You know, you've... been weird ever since we got back.","Sabes, has... estado raro desde que volvimos."
- I'd Iike to ask you something,- Me gustaría preguntarle algo.
You can have Carmen show you out.,Carmen te enseñará la salida.
I'll be back in a week to check on you.,Volveré en una semana a ver cómo estás.
It started with getting me sick.,Comenzó poniéndome enfermo.
The GPS data from Henry's car.,La información del GPS del coche de Henry.
Hello?,¿Hola?
"You speak first, then.",- Tú empiezas. - Vale.
"Composed as above,","Compuesta por los miembros antes mencionados,"
"The states, of course, said, ""Hey!","Pero entonces los estados dijeron,"
"This concept was adopted as the theme for the International Year of Older Persons in 1999 and subsequently became a central tenet of the Madrid International Plan of Action on Ageing 2002, adopted at the Second World Assembly on Ageing.","Este fue el tema del Año Internacional de las Personas de Edad (1999) y posteriormente se convirtió en uno de los principios fundamentales del Plan de Acción Internacional de Madrid sobre el Envejecimiento (2002), aprobado durante la Segunda Asamblea Mundial sobre el Envejecimiento."
There's been no follow-up phone call from the terrorists?,¿No hubo una nueva llamada de los terroristas?
In the Legislative Assembly the FMLN has not made a systematic effort to consolidate its advantageous position as the opposition.,En el Organo Legislativo no ha habido un esfuerzo sistemático de parte del Frente por solidificar su ventajosa posición opositora.
"So I hope you believe me when I tell you that if you do not cease and desist with this slandering of his good name and the good name of this hospital, I will marshal all the resources of this institution and take you to court and make sure that yu and your dreams... never defame anyone again.",así que creeme cuando te digo si no dejas y desiste de difamar su buen nombre y el buen nombre de este hospital reuniré todos los recursos de esta institución y te llevaré ante un juzgado y seguro que tu y tus sueños
"Hey, you know what I was thinking?","Oye, ¿sabes lo que estaba pensando?"
"Are there large quantities of smoke, black or white being omitted?","¿Hay grandes cantidades de humo, negro o blanco se omiten?"
"(b) Requested the President of the Council and the United Nations High Commissioner for Human Rights to report to the Council at its fifth session on their efforts for the implementation of Council resolutions S-1/1 and S-3/1 and on the compliance of Israel, the occupying Power, with these two resolutions.","c) Transporte local, seguridad, comunicaciones y gastos diversos durante las misiones sobre el terreno (7.200 dólares)."
- I' il be right back.,- Ya vuelvo.
"Today, we have 38,000+ non-Catholic Christian sects. Aren't they 38,000+'pieces'.","Actualmente, tenemos más de 38,0000 sectas cristianas no-católicas.¿No son estas 38,000+ ""piezas""?."
(b) Social services that enable older persons and persons with disabilities to remain in their normal living environment for as long as possible and to receive adequate health and social care when they are dependent.,b) Servicios sociales que permitan a las personas mayores y a las personas con discapacidad permanecer en su entorno de vida habitual el mayor tiempo posiblej y recibir una asistencia sanitaria y social adecuada cuando son dependientes.
Despite the risk of committing adultery. David knew she would offer herself to him.,"A pesar del riesgo del adulterio, se sabe que se le va a ofrecer."
A dozen things could account for the correlation.,Una docena de cosas podrían explicar la correlación.
My LASH LIFTING by WIMPERNWELLE Eyelash Perm only lasted for one week!,¿Por qué mi permanente WIMPERNWELLE ha durado sólo una semana?
"The Committee believes that the Organization should remain the guardian of international legitimacy and play a key role in mobilizing international assistance for development, given the importance of such assistance to the peace process.","El Comité estima que la Organización debe seguir siendo custodia de la legitimidad internacional y desempeñar un papel clave en la movilización de la asistencia internacional para el desarrollo, dada la importancia de esa asistencia para el proceso de paz."
"As has been the case since 2005, riders involved in a fall in the last three kilometres of a stage are given the same finishing time as the group which they belonged to.","Como es habitual desde 2005, en caso de caÃ da en los Ãºltimos tres kilÃ³metros, los corredores implicados recibirÃ¡n el tiempo del grupo al que pertenecen."
"A programme spelling out each goal and including interviews with the President, senior government officials and the Resident Coordinator was broadcast on national television.","La televisión nacional transmitió un programa en el que se enunciaban detalladamente los objetivos y se difundían entrevistas con el Presidente, funcionarios superiores del Gobierno, y el coordinador residente."
Hot spring resort (1),Complejo termal (1)
"(2) Commission Decision 98/377/EC of 18 May 1998 adapting Annex I to Council Regulation (EEC) No 571/88 in view of the organisation of the Community surveys on the structure of agricultural holdings(2) is to be incorporated into the Agreement,","(2) Es preciso incorporar al Acuerdo la Decisión 98/377/CE de la Comisión, de 18 de mayo de 1998, por la que se adapta el anexo I del Reglamento (CEE) n° 571/88 del Consejo relativo a la organización de las encuestas comunitarias sobre la estructura de las explotaciones agrícolas(2)."
How's your baby?,¿Cómo está tu hijo?
- of the quantities of white sugar produced and the overall amount of the special processing aid paid;,- las cantidades de azúcar blanco producido y el importe global de la ayuda específica para la transformación abonado.
"'According to the classical theory of the four humours, 'men were thought to be hot and dry, which was good.","""De acuerdo con la teoría clásica de los cuatro humores, los hombres se pensaba que eran calurosos y secos, lo cual era bueno."
"Oh, Mary, what an awful picture-- a bitter old drunk describing some tawdry affair while spoon-feeding you strained bananas as you sit in your little highchair.","Oh, Mary, qué imagen espantosa... Una borracha amargada que describe un tórrido romance... mientras te da de comer bananas en tu sillita de bebé. Bueno, tenía 9 años."
I strongly suggest you think it over.,Les sugieron que lo mediten.
"You're gonna hold on to that seat, on three.","Vas a conservar al asiento, en tres."
So that's the boy that beat Nathan?,Ese es el chico que le gano a Nathan?
High school sucked.,"La secundaria apestó. Dustin Cooper Estudiante de Honor, Secundaria Silverton."
The situation of our hotel makes it a good initial point to discover Berlin. Our physical address is Yorckstr. 83.,La situación de nuestro hotel le hace un buen punto inicial para descubrir Berlin. Nuestra dirección física es Yorckstr. 83.
- Who's laughing now?,- ¿Ahora quién se ríe?
- You better get a beau of your own.,- Más vale que tú te agencies otro.
"According to the World Bank, women represent up to 70 per cent of the rural poor and play a major role in the survival strategies and the economy of poor rural households.","Según el Banco Mundial, las mujeres representan hasta el 70% de los pobres de las zonas rurales y desempeñan un importante papel en las estrategias de supervivencia y la economía de las familias pobres de las zonas rurales."
"On an ego level there was a large dose of disbelief on my part that I could be having a connection with a Master. Fortunately for me, this particular Master persevered through my doubts and came to me time and again until I finally learned who he was.","En un nivel de ego había una gran dosis de falta de creencia de mi parte de poder tener una conexión con mi Maestro. Afortunadamente para mí, este Maestro en particular se mantuvo a pesar de mis dudas y vino hacia mí una y otra vez hasta que finalmente aprendí quién era."
Weather in United Arab Emirates. 15 days weather forecast for cities in United Arab Emirates.,El Tiempo en Emiratos Árabes Unidos.15 días pronóstico del tiempo para las ciudades en Emiratos Árabes Unidos.
"Oh, I'm... sure that's nothing.","Oh, yo... estoy seguro de que no es nada."
"I mean, are we gonna have a nation-building corps from America?","Es decir, vas a tener unas tropas norteamericanas construye-naciones?"
"Reid, come here, man.","Reid, ven aquí, hombre."
"You know, he is no longer a character actor.",El no lo interpretó por mucho tiempo.
Perhaps we can use him in Las Vegas.,Puede sernos útil en Las Vegas.
It's just... I'm not that way inclined.,Es que... mi inclinación no va por ahí.
"If you're married, it's a matter of public record.","Si está casada, está en el registro civil."
"Blue tag, in the new building, right behind us.","Los de etiqueta azul, al nuevo edificio."
Mom takes and your bass.,Trae a mamá y a tu contrabajo.
Tonight we have been invited to join a group of merchants.,Esta noche hemos sido invitados a unirnos a un grupo de mercaderes.
"- I released my own single, if that's a waste.","- Saqué mi propio single, si eso es malo."
"I said you were making a mistake, didn't I? !",¡He dicho que os equivocáis!
"Minute by minute, the speed of time passage will now increase.",La rapidez del paso del tiempo aumenta a cada minuto.
I appreciate the time that... Oh.,Agradezco el tiempo que...
These were held in Paso Flores near the city of San Carlos de Bariloche by the Chilean border.,Este lugar está ubicado próximo a la ciudad de San Carlos de Bariloche cerca de la frontera con Chile.
The sun's up.,Ya ha amanecido.
Cheeses eligible for aid,Quesos que dan derecho a la ayuda
"This proposal for a directive, which had already been rejected by the European Parliament, forms part of the strategy put forward in the White Paper ‘ European Transport Policy for 2010: time to decide’, whose stated intention is to seek to redistribute the tax burden between ‘ users’ and ‘ taxpayers’ and to pass on the ‘ real’ costs of transport to ‘ users’.","La Comisión propuso « instaurar una tarificación progresiva del uso de las infraestructuras de transporte y reforzar la coherencia del sistema fiscal » y crear, en el plazo de diez años, un sistema tributario europeo que incluya los impuestos de matriculación y circulación, un sistema « inteligente » para cobrar por el uso de las infraestructuras y armonizar la tributación sobre el combustible."
And you must believe this.,Y ustedes deben creer esto.
Ceat tires!,Neumáticos Ceat!
"Revered Teacher, take me under your wings","""Reverenciado Maestro, acéptame bajo tus alas."
(a) Takes note of the report of the Commission on Crime Prevention and Criminal Justice on its fourteenth session;,a) Toma nota del informe de la Comisión de Prevención del Delito y Justicia Penal sobre su 14º período de sesiones;
Where devils were they?,"¿Dónde carajo habéis estado, viejo?"
17 October - 3 November 2005,17 de octubre a 3 de noviembre de 2005
"However, if the notifier has received notice in accordance with Article 16 (3) that the dossier has been accepted, the substance may be placed on the market no sooner than 15 days after receipt of the dossier by the competent authority.","No obstante, si el notificante, de acuerdo con el apartado 3 del articulo 16, hubiere recibido noticia de que el expediente se ha aceptado, las sustancia sólo podrá comercializarse una vez transcurridos quince días tras la recepción del expediente por parte de la autoridad competente."
You can not identify the locations with the mouse virus.,No se puede identificar la ubicación con el virus del ratón.
"Periodic reviews will be conducted and successful examples documented to share best practices, strengthen partnerships and accelerate progress.","A fin de observar y evaluar el segundo grupo de cuestiones, del que forma parte la cooperación prestada en el marco del programa del UNICEF, el programa se examinará anualmente en colaboración con los gobiernos y otros asociados."
They will not come... your conversation is not witty and you have no ideals.,"Ellos no vendrán, tu conversación no es ingeniosa y no tienes ideales."
"If it evaluates to TRUE, the loop continues and the nested statement(s) are executed.","Si se evalúa como TRUE, el bucle continúa y las sentencias anidadas se ejecutan."
"It was a mistake, that's all.","Fue un error, eso es todo."
"He alludes to something that is always in view but which many people pass over: “It is not about convincing different people of the impossible; anyone who is below knows that as his or her misery progresses, so progresses the wealth up above.",Alude a lo que está siempre a la vista pero muchos pasan por alto: “No se trata de convencer a unos y a otros de lo imposible y cualquier gente que esté abajo sabe que conforme va avanzando su miseria va avanzado la riqueza del de arriba.
"Yeah, about witches being massacred over the centuries.","Sí, sobre brujas siendo masacradas desde hace centurias."
Please remember that this year the dress code is strict.,Por favor recuerden que este año el código de vestimenta será estricto.
Five of us against an army?,¿Cinco de nosotros contra un ejército?
Clarifying that work units are covered by Article 6 of Regulation (EC) No 715/2007 is expected to provide commercial certainty to the market players.,Se espera que el hecho de clarificar que las unidades de trabajo están contempladas por las disposiciones del artículo 6 del Reglamento (CE) no 715/2007 cree seguridad comercial para los agentes del mercado.
"As an all-in-one storage device with the built-in OceanKTV app, QNAP NAS can be used for a variety of features such as file sharing, multimedia entertainment, home theater, and much more at a reasonable price point.","Como un dispositivo de almacenamiento todo-en-uno con la aplicación OceanKTV incorporada, el NAS de QNAP se puede utilizar para una serie de funciones tales como el intercambio de archivos, el entretenimiento multimedia, el cine en casa, y mucho más a un precio razonable."
"Now, before you give us an answer, I want to impress you with three things.","Antes de darnos una respuesta, quiero que sepa tres cosas."
Old people do that.,La gente vieja hace eso.
"Obviously, it worked.","Obviamente, funcionó."
Maybe because I didn't want you to know.,Quizás porque no quería que lo supieras.
I'd forgotten I stared into that creep's face. You saved Stan's life.,"¿Qué diablos está pasando, amigos?"
Rutger is big and bold and interesting as an actor.,"Rutger es un actor audaz, fantástico e interesante."
"We're gonna take this to some level that people aren't gonna forget, and if that means risking your life,",Vamos a llevar esto a un nivel que la gente no olvidará. Y si eso significa arriesgar mi vida pues vamos a hacerlo.
"-Yes.-Well, which brings me back to ""why?""",-Sí. -Vuelvo a preguntar por qué.
Tell us what you want.,Dinos que quieren.
"If the motion is followed for just a very brief moment, the path AB covered is so short that its curvature can be neglected, allowing one to view the motion as proceeding in a straight line, with velocity v.","Si tomamos el movimiento desarrollado en un momento muy breve, el trayecto AB cubierto es tan pequeño que su curvatura se puede desechar, permitiendo ver el movimiento como si fuese en línea recta, con una velocidad v."
These are amalgamated for shipment and valued by Diamond Counsellor International in the ASCorp offices prior to export.,Estas compras se consolidan para la expedición y son tasadas por Diamond Counsellor International en las oficinas de ASCorp antes de exportarlas.
""" Wanted writer, editor with experience in the industrial field To produce annual reports and brochures of electrical appliances. ""","""Se busca escritor, editor con experiencia en el campo industrial para redactar anuales, informes y folletos de aparatos eléctricos""."
This town sure growed since I was last here.,Esta ciudad ha crecido mucho desde la última vez que estuve.
"Recalling also Part II, paragraphs 11 and 17, of the Vienna Declaration and Programme of Action (A/CONF.157/23), in which the World Conference on Human Rights requested the Secretary-General and the General Assembly to provide sufficient human, financial and other resources to the Centre for Human Rights to enable it effectively, efficiently and expeditiously to carry out its activities, while recognizing the necessity for restructuring United Nations human rights machinery, in accordance with its real needs,","Recordando también que, en los párrafos 11 y 17 de la parte II de la Declaración y Programa de Acción de Viena (A/CONF.157/23), la Conferencia Mundial de Derechos Humanos pidió al Secretario General y a la Asamblea General que proporcionaran suficientes recursos humanos, económicos y de otra índole para que el Centro de Derechos Humanos pudiera realizar sus actividades en forma eficaz, eficiente y rápida, y reconoció la necesidad de reestructurar el mecanismo de las Naciones Unidas en la esfera de los derechos humanos para que respondiera a sus necesidades reales,"
Are you trying to say the books were faked?,¿Está tratando de decir que los libros eran falsos?
I swear to you I haven't done anything!,Te juro que no he hecho nada!
He traded antiquities excavated from South American ruins.,Comerciaba con antigüedades sacadas de ruinas sudamericanas.
"Fishing vessels participating in the exploratory fisheries referred to in Article 46 shall implement Data Collection Plans, in each and all SSRUs in which FAO Sub-area 88.1 and Divisions 58.4.1 and 58.4.2 are divided.",Los buques de pesca que participen en las pesquerías exploratorias a que hace referencia el artículo 46 aplicarán los siguientes planes de recopilación de datos en cada una de las UIPE en las que están divididas la subzona 88.1 y las divisiones 58.4.1 y 58.4.2 de la FAO.
Meeting like theives.,"De que nos veamos así, como ladrones."
Question 6,Cuestión 6
"MACHINE BEEPS 'Get back to me, you bastard! You know what it's like...'","""Llámame, hijo de puta, sabes cómo es... """
"Statements relating to the organization of work were made at the 1st meeting by the Chairman and by the representatives of Indonesia, New Zealand, Fiji, Chile and the Syrian Arab Republic (see A/AC.109/1999/SR.1).","En la primera sesión formularon declaraciones sobre la organización de los trabajos el Presidente y los representantes de Indonesia, Nueva Zelandia, Fiji, Chile y la República Árabe Siria (véase A/AC.109/1999/SR.1)."
- Pretty much like rabbits.,- Más o menos como conejos.
"David, Segovia (8/2/2014)","David, Segovia (8/2/2014)"
"Vinny's like, you know, I really wanna go in the jacuzzi.","Vinny estaba como, de verdad quiero ir al jacuzzi."
I will not have dope deals made in this house!,No aceptaré que hagas negocios con drogas en esta casa.
I have nothing to do with this!,¡No tengo nada que ver con esto!
I like to see if I can calculate where we are all the time.,Me gusta calcular dónde estamos en cada momento.
Pop Knickerbocker stands alone,No hay nada como Nueva York
"Well, the law says you have that right.","Bueno, la ley dice que tienes ese derecho."
"Isn't that right, Seth?","¿No es así, Seth?"
- No compromise.,-Ningún acuerdo.
We're not gonna waste this week's question... to the nether world on Conan.,"No vas a desperdiciar la pregunta ""de la semana"" con Conan."
We misestimate... we call it wrong.,No estimamos bien... Lo llamamos erróneo.
"On the other hand, the conclusion of an agreement with Switzerland would mean that as from the year 2005, 40-tonne HGVs could drive through Switzerland quite freely and the road-use charge system would be fair.","Por otro lado, mediante la conclusión del acuerdo con Suiza, a partir del año 2005 se garantiza la plena libertad de circulación para los camiones de 40 toneladas y un sistema justo de determinación de peajes."
- There is an objection.,-Una objeción:
"And then, my other leg has fallen off too.",También se me ha caído la otra pierna.
